dataset,filename,start_time,end_time,start_frequency,end_frequency,annotation,annotator,start_datetime,end_datetime
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg356.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T00:59:07.000+02:00,2022-07-07T00:59:17.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg361.wav,5.39161610590182,6.62713734142306,20671.875,65109.375,Odontocete Buzzs,mdupon,2022-07-07T01:00:02.391+02:00,2022-07-07T01:00:03.627+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg361.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T00:59:57.000+02:00,2022-07-07T01:00:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg369.wav,0,1.17209045780474,7593.75,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:01:17.000+02:00,2022-07-07T01:01:18.172+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg369.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:01:17.000+02:00,2022-07-07T01:01:27.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg371.wav,3.996138996139,5.54054054054054,18562.5,70593.75,Odontocete Buzzs,mdupon,2022-07-07T01:01:40.996+02:00,2022-07-07T01:01:42.540+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg371.wav,2.28626585769443,4.24434638720353,24468.75,65812.5,Odontocete clics,mdupon,2022-07-07T01:01:39.286+02:00,2022-07-07T01:01:41.244+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg371.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:01:37.000+02:00,2022-07-07T01:01:47.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg371.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:01:37.000+02:00,2022-07-07T01:01:47.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg373.wav,7.22283507997794,8.00606729178158,5765.625,64687.5,Odontocete Buzzs,mdupon,2022-07-07T01:02:04.222+02:00,2022-07-07T01:02:05.006+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg373.wav,5.4688361831219,7.32211803640375,19687.5,63843.75,Odontocete clics,mdupon,2022-07-07T01:02:02.468+02:00,2022-07-07T01:02:04.322+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg373.wav,4.2388306674021,5.11031439602868,5203.125,70312.5,Odontocete Buzzs,mdupon,2022-07-07T01:02:01.238+02:00,2022-07-07T01:02:02.110+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg373.wav,2.46828461114175,4.50358521787093,23062.5,66796.875,Odontocete clics,mdupon,2022-07-07T01:01:59.468+02:00,2022-07-07T01:02:01.503+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg373.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:01:57.000+02:00,2022-07-07T01:02:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg373.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:01:57.000+02:00,2022-07-07T01:02:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg374.wav,3.3177054605626,6.27964699393271,19968.75,69328.125,Odontocete clics,mdupon,2022-07-07T01:02:10.317+02:00,2022-07-07T01:02:13.279+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg374.wav,2.12630998345284,3.05295091009377,9140.625,68625.0,Odontocete Buzzs,mdupon,2022-07-07T01:02:09.126+02:00,2022-07-07T01:02:10.052+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg374.wav,0.598455598455598,1.43684500827358,6609.375,70453.125,Odontocete Buzzs,mdupon,2022-07-07T01:02:07.598+02:00,2022-07-07T01:02:08.436+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg374.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:02:07.000+02:00,2022-07-07T01:02:17.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg374.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:02:07.000+02:00,2022-07-07T01:02:17.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg375.wav,0.570876999448428,3.82515168229454,20250.0,63000.0,Odontocete clics,mdupon,2022-07-07T01:02:17.570+02:00,2022-07-07T01:02:20.825+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg375.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:02:17.000+02:00,2022-07-07T01:02:27.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg378.wav,5.15995587424159,7.04081632653061,28546.875,62718.75,Odontocete clics,mdupon,2022-07-07T01:02:52.159+02:00,2022-07-07T01:02:54.040+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg378.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:02:47.000+02:00,2022-07-07T01:02:57.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg379.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:02:57.000+02:00,2022-07-07T01:03:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg382.wav,5.68394925537783,6.14175399889686,18140.625,65671.875,Odontocete Buzzs,mdupon,2022-07-07T01:03:32.683+02:00,2022-07-07T01:03:33.141+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg382.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:03:27.000+02:00,2022-07-07T01:03:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg386.wav,8.32597904026475,8.9327082184225,32625.0,61593.75,Odontocete Buzzs,mdupon,2022-07-07T01:04:15.325+02:00,2022-07-07T01:04:15.932+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg386.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:04:07.000+02:00,2022-07-07T01:04:17.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg397.wav,6.08659680088252,6.86431329288472,17718.75,58640.625,Odontocete Buzzs,mdupon,2022-07-07T01:06:03.086+02:00,2022-07-07T01:06:03.864+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg397.wav,0.135135135135135,2.48483177054606,23765.625,57234.375,Odontocete clics,mdupon,2022-07-07T01:05:57.135+02:00,2022-07-07T01:05:59.484+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg397.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:05:57.000+02:00,2022-07-07T01:06:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg397.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:05:57.000+02:00,2022-07-07T01:06:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg396.wav,7.53723110865968,9.78764478764479,31359.375,60468.75,Odontocete clics,mdupon,2022-07-07T01:05:54.537+02:00,2022-07-07T01:05:56.787+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg396.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:05:47.000+02:00,2022-07-07T01:05:57.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg399.wav,7.9123000551572,8.8996138996139,19125.0,65390.625,Odontocete Buzzs,mdupon,2022-07-07T01:06:24.912+02:00,2022-07-07T01:06:25.899+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg399.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:06:17.000+02:00,2022-07-07T01:06:27.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg402.wav,8.6403750689465,9.3684500827358,20531.25,66375.0,Odontocete Buzzs,mdupon,2022-07-07T01:06:55.640+02:00,2022-07-07T01:06:56.368+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg402.wav,4.18918918918919,5.33645890788748,7171.875,62578.125,Odontocete Buzzs,mdupon,2022-07-07T01:06:51.189+02:00,2022-07-07T01:06:52.336+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg402.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:06:47.000+02:00,2022-07-07T01:06:57.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg529.wav,8.00606729178158,9.52289023717595,29390.625,61875.0,Odontocete clics,mdupon,2022-07-07T01:28:05.006+02:00,2022-07-07T01:28:06.522+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg529.wav,4.20573634859349,4.47600661886376,22640.625,70171.875,Odontocete Buzzs,mdupon,2022-07-07T01:28:01.205+02:00,2022-07-07T01:28:01.476+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg529.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:27:57.000+02:00,2022-07-07T01:28:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg529.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:27:57.000+02:00,2022-07-07T01:28:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg531.wav,7.41588527302813,8.77826806398235,17718.75,70031.25,Odontocete Buzzs,mdupon,2022-07-07T01:28:24.415+02:00,2022-07-07T01:28:25.778+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg531.wav,5.99834528405957,7.60893546607832,25312.5,61171.875,Odontocete clics,mdupon,2022-07-07T01:28:22.998+02:00,2022-07-07T01:28:24.608+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg531.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:28:17.000+02:00,2022-07-07T01:28:27.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg531.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:28:17.000+02:00,2022-07-07T01:28:27.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg530.wav,7.15113072255929,8.87203530060673,24609.375,58781.25,Odontocete clics,mdupon,2022-07-07T01:28:14.151+02:00,2022-07-07T01:28:15.872+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg530.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:28:07.000+02:00,2022-07-07T01:28:17.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg532.wav,5.83287369001655,6.91947049089906,7875.0,60187.5,Odontocete Buzzs,mdupon,2022-07-07T01:28:32.832+02:00,2022-07-07T01:28:33.919+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg532.wav,3.46111417539989,5.2095973524545,9281.25,57375.0,Odontocete clics,mdupon,2022-07-07T01:28:30.461+02:00,2022-07-07T01:28:32.209+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg532.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:28:27.000+02:00,2022-07-07T01:28:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg532.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:28:27.000+02:00,2022-07-07T01:28:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg552.wav,7.426916712631,7.91781577495863,23765.625,68765.625,Odontocete Buzzs,mdupon,2022-07-07T01:31:54.426+02:00,2022-07-07T01:31:54.917+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg552.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:31:47.000+02:00,2022-07-07T01:31:57.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg595.wav,4.72972972972973,5.08273579702151,17437.5,62578.125,Odontocete Buzzs,mdupon,2022-07-07T01:39:01.729+02:00,2022-07-07T01:39:02.082+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg595.wav,0.0523993381136238,4.56425813568671,24609.375,64125.0,Odontocete clics,mdupon,2022-07-07T01:38:57.052+02:00,2022-07-07T01:39:01.564+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg595.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:38:57.000+02:00,2022-07-07T01:39:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg595.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T01:38:57.000+02:00,2022-07-07T01:39:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg628.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:44:27.000+02:00,2022-07-07T01:44:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg630.wav,0.896304467733039,7.64754550468836,20953.125,48796.875,Odontocete clics,mdupon,2022-07-07T01:44:47.896+02:00,2022-07-07T01:44:54.647+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg630.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:44:47.000+02:00,2022-07-07T01:44:57.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg635.wav,3.06949806949807,4.90071704357419,21515.625,53156.25,Odontocete clics,mdupon,2022-07-07T01:45:40.069+02:00,2022-07-07T01:45:41.900+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg635.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T01:45:37.000+02:00,2022-07-07T01:45:47.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg195.wav,4.80143408714837,6.13623827909542,7734.375,17437.5,Odontocete whistles,mdupon,2022-07-07T02:32:20.801+02:00,2022-07-07T02:32:22.136+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg195.wav,2.50689464975179,3.35631549917264,5625.0,17718.75,Odontocete whistles,mdupon,2022-07-07T02:32:18.506+02:00,2022-07-07T02:32:19.356+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg195.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:32:16.000+02:00,2022-07-07T02:32:26.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg205.wav,6.63265306122449,7.2173193601765,8156.25,19406.25,Odontocete whistles,mdupon,2022-07-07T02:34:02.632+02:00,2022-07-07T02:34:03.217+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg205.wav,1.81742967457253,2.40209597352454,8859.375,13781.25,Odontocete whistles,mdupon,2022-07-07T02:33:57.817+02:00,2022-07-07T02:33:58.402+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg205.wav,1.39823496966354,1.82294539437397,7875.0,11953.125,Odontocete whistles,mdupon,2022-07-07T02:33:57.398+02:00,2022-07-07T02:33:57.822+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg205.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:33:56.000+02:00,2022-07-07T02:34:06.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg204.wav,6.50027578599007,6.98565912851627,9984.375,15750.0,Odontocete whistles,mdupon,2022-07-07T02:33:52.500+02:00,2022-07-07T02:33:52.985+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg204.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:33:46.000+02:00,2022-07-07T02:33:56.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg207.wav,0.267512410369553,1.09487038058467,7312.5,16312.5,Odontocete whistles,mdupon,2022-07-07T02:34:16.267+02:00,2022-07-07T02:34:17.094+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg207.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:34:16.000+02:00,2022-07-07T02:34:26.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg208.wav,3.99062327633756,5.06067291781577,4921.875,17578.125,Odontocete whistles,mdupon,2022-07-07T02:34:29.990+02:00,2022-07-07T02:34:31.060+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg208.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:34:26.000+02:00,2022-07-07T02:34:36.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg212.wav,3.79205736348593,4.47600661886376,7031.25,17718.75,Odontocete whistles,mdupon,2022-07-07T02:35:09.792+02:00,2022-07-07T02:35:10.476+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg212.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:35:06.000+02:00,2022-07-07T02:35:16.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg228.wav,1.07832322118036,1.78985107556536,5765.625,18421.875,Odontocete whistles,mdupon,2022-07-07T02:37:47.078+02:00,2022-07-07T02:37:47.789+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg228.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:37:46.000+02:00,2022-07-07T02:37:56.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg230.wav,4.11196911196911,4.76282404853833,9140.625,18703.125,Odontocete whistles,mdupon,2022-07-07T02:38:10.111+02:00,2022-07-07T02:38:10.762+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg230.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T02:38:06.000+02:00,2022-07-07T02:38:16.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg525.wav,0.714285714285714,6.63265306122449,18703.125,45281.25,Odontocete clics,mdupon,2022-07-07T03:27:16.714+02:00,2022-07-07T03:27:22.632+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg525.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T03:27:16.000+02:00,2022-07-07T03:27:26.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg529.wav,0.427468284611142,3.40595697738555,26156.25,52453.125,Odontocete clics,mdupon,2022-07-07T03:27:56.427+02:00,2022-07-07T03:27:59.405+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg529.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T03:27:56.000+02:00,2022-07-07T03:28:06.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg528.wav,8.67898510755654,9.23607280750138,26015.625,66515.625,Odontocete Buzzs,mdupon,2022-07-07T03:27:54.678+02:00,2022-07-07T03:27:55.236+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg528.wav,5.16547159404302,6.07556536127965,21656.25,60328.125,Odontocete Buzzs,mdupon,2022-07-07T03:27:51.165+02:00,2022-07-07T03:27:52.075+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg528.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T03:27:46.000+02:00,2022-07-07T03:27:56.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220707015946_seg530.wav,7.22835079977937,8.29840044125758,21375.0,64687.5,Odontocete Buzzs,mdupon,2022-07-07T03:28:13.228+02:00,2022-07-07T03:28:14.298+02:00
